,cell_name,cell_fate,cell_hours_at_fate,sister_name,sister_fate,sister_hours_at_fate,coinciding_fate,hours_difference_to_fate,memory,treatment
15530,1cg-1.2.1.1.2.1.1,division,3.0,1cg-1.2.1.1.2.1.2,migration,10.0,False,7.0,0.9,TMZ
15531,1cg-1.2.1.1.2.1.1.1,migration,6.0,1cg-1.2.1.1.2.1.1.2,death,0.0,False,6.0,0.9,TMZ
15532,1cg-1.2.1.1.2.2.1,migration,9.0,1cg-1.2.1.1.2.2.2,migration,9.0,True,0.0,0.9,TMZ
15533,1cg-1.2.1.2.1,death,9.0,1cg-1.2.1.2.2,death,46.0,True,37.0,0.9,TMZ
15534,1cg-1.2.2.1,division,17.0,1cg-1.2.2.2,division,17.0,True,0.0,0.9,TMZ
15535,1cg-1.2.2.1.1,division,34.0,1cg-1.2.2.1.2,division,11.0,True,23.0,0.9,TMZ
15536,1cg-1.2.2.1.1.1,migration,25.0,1cg-1.2.2.1.1.2,migration,25.0,True,0.0,0.9,TMZ
15537,1cg-1.2.2.1.2.1,division,17.0,1cg-1.2.2.1.2.2,division,10.0,True,7.0,0.9,TMZ
15538,1cg-1.2.2.1.2.1.1,migration,30.0,1cg-1.2.2.1.2.1.2,division,20.0,False,10.0,0.9,TMZ
15539,1cg-1.2.2.1.2.1.2.1,migration,9.0,1cg-1.2.2.1.2.1.2.2,migration,9.0,True,0.0,0.9,TMZ
15540,1cg-1.2.2.1.2.2.1,division,16.0,1cg-1.2.2.1.2.2.2,division,14.0,True,2.0,0.9,TMZ
15541,1cg-1.2.2.1.2.2.1.1,migration,20.0,1cg-1.2.2.1.2.2.1.2,division,9.0,False,11.0,0.9,TMZ
15542,1cg-1.2.2.1.2.2.1.2.1,migration,10.0,1cg-1.2.2.1.2.2.1.2.2,migration,10.0,True,0.0,0.9,TMZ
15543,1cg-1.2.2.1.2.2.2.1,division,16.0,1cg-1.2.2.1.2.2.2.2,division,9.0,True,7.0,0.9,TMZ
15544,1cg-1.2.2.1.2.2.2.1.1,migration,5.0,1cg-1.2.2.1.2.2.2.1.2,migration,5.0,True,0.0,0.9,TMZ
15545,1cg-1.2.2.1.2.2.2.2.1,division,8.0,1cg-1.2.2.1.2.2.2.2.2,migration,12.0,False,4.0,0.9,TMZ
15546,1cg-1.2.2.1.2.2.2.2.1.1,migration,3.0,1cg-1.2.2.1.2.2.2.2.1.2,migration,3.0,True,0.0,0.9,TMZ
15547,1cg-1.2.2.2.1,division,11.0,1cg-1.2.2.2.2,division,15.0,True,4.0,0.9,TMZ
15548,1cg-1.2.2.2.1.1,division,24.0,1cg-1.2.2.2.1.2,division,14.0,True,10.0,0.9,TMZ
15549,1cg-1.2.2.2.1.1.1,migration,23.0,1cg-1.2.2.2.1.1.2,division,22.0,False,1.0,0.9,TMZ
15550,1cg-1.2.2.2.1.1.2.1,migration,0.0,1cg-1.2.2.2.1.1.2.2,migration,0.0,True,0.0,0.9,TMZ
15551,1cg-1.2.2.2.1.2.1,division,31.0,1cg-1.2.2.2.1.2.2,division,12.0,True,19.0,0.9,TMZ
15552,1cg-1.2.2.2.1.2.1.1,migration,1.0,1cg-1.2.2.2.1.2.1.2,migration,1.0,True,0.0,0.9,TMZ
